Name,Test Matches,Test Runs,Test Wickets,Test Catches,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches,Total Matches,Total Runs,Total Wickets,Total Catches,Runs + Wickets + Catches
Harbhajan Singh,103,2224,417,42,234,1213,265,71,28,108,25,7,365,3545,707,120,4372
Ravindra Jadeja,52,1985,221,38,168,2411,188,60,50,217,39,21,270,4613,448,119,5180
Shikhar Dhawan,34,2315,0,28,145,6105,0,69,68,1759,0,19,247,10179,0,116,10295
Dilip Vengsarkar,116,6868,0,78,129,3508,0,37,0,0,0,0,245,10376,0,115,10491
Wriddhiman Saha,38,1251,0,92,9,41,0,17,0,0,0,0,47,1292,0,109,1401
Rishabh Pant,21,1403,0,75,18,529,0,9,33,512,0,9,72,2444,0,93,2537
Parthiv Patel,25,934,0,62,38,736,0,30,2,36,0,1,65,1706,0,93,1799
Gautam Gambhir,58,4154,0,38,147,5238,0,36,37,932,0,11,242,10324,0,85,10409
Krishnamachari Srikkanth,43,2062,0,40,146,4091,25,42,0,0,0,0,189,6153,25,82,6260
Ravi Shastri,80,3830,151,36,150,3108,129,40,0,0,0,0,230,6938,280,76,7294
Mohinder Amarnath,69,4378,32,47,85,1924,46,23,0,0,0,0,154,6302,78,70,6450
Mohammad Kaif,13,624,0,14,125,2753,0,55,0,0,0,0,138,3377,0,69,3446
Farokh Engineer,46,2611,0,66,5,114,0,3,0,0,0,0,51,2725,0,69,2794
KL Rahul,36,2006,0,46,38,1509,0,21,0,0,0,0,74,3515,0,67,3582
Gundappa Viswanath,91,6080,1,63,25,439,0,3,0,0,0,0,116,6519,1,66,6586
Ravichandran Ashwin,79,2685,413,27,111,675,150,30,46,123,52,8,236,3483,615,65,4163
Zaheer Khan,92,1231,311,19,194,753,269,43,17,13,17,2,303,1997,597,64,2658
Ajay Jadeja,15,576,0,5,196,5359,20,59,0,0,0,0,211,5935,20,64,6019
Hardik Pandya,11,532,17,7,63,1286,57,24,49,484,42,30,123,2302,116,61,2479
Murali Vijay,61,3982,1,49,17,339,1,9,9,169,0,3,87,4490,2,61,4553
Ajit Agarkar,26,571,58,6,191,1269,288,52,4,15,3,0,221,1855,349,58,2262
Cheteshwar Pujara,86,6267,0,57,5,51,0,0,0,0,0,0,91,6318,0,57,6375
M.S. Dhoni,0,0,0,0,0,0,0,0,98,1617,0,57,98,1617,0,57,1674
Eknath Solkar,27,1068,18,53,7,27,4,2,0,0,0,0,34,1095,22,55,1172
Javagal Srinath,67,1009,236,22,229,883,315,32,0,0,0,0,296,1892,551,54,2497
Sanjay Manjrekar,37,2043,0,25,74,1994,1,23,0,0,0,0,111,4037,1,48,4086
Manoj Prabhakar,39,1600,96,20,130,1858,157,27,0,0,0,0,169,3458,253,47,3758
Ajit Wadekar,37,2113,0,46,2,73,0,1,0,0,0,0,39,2186,0,47,2233
Ishant Sharma,102,751,306,22,80,72,115,19,14,8,8,4,196,831,429,45,1305
Bhuvneshwar Kumar,21,552,63,8,119,548,141,29,51,52,50,8,191,1152,254,45,1451
Srinivas Venkataraghavan,57,748,156,44,0,0,0,0,0,0,0,0,57,748,156,44,948
Venkatesh Prasad,33,203,96,6,161,221,196,37,0,0,0,0,194,424,292,43,759
Umesh Yadav,48,359,148,17,75,79,106,22,7,2,9,3,130,440,263,42,745
Chetan Chauhan,40,2084,2,38,7,153,0,3,0,0,0,0,47,2237,2,41,2280
Mohammed Shami,51,515,184,12,79,161,148,28,12,0,12,0,142,676,344,40,1060
Robin Singh,1,27,0,5,136,2336,69,33,0,0,0,0,137,2363,69,38,2470
Chandu Borde,55,3061,52,37,0,0,0,0,0,0,0,0,55,3061,52,37,3150
Naren Tamhane,21,225,0,35,0,0,0,0,0,0,0,0,21,225,0,35,260
Kedar Jadhav,0,0,0,0,73,1389,27,33,9,122,0,1,82,1511,27,34,1572
Shiv Sunder Das,23,1326,0,34,4,39,0,0,0,0,0,0,27,1365,0,34,1399
Vinoo Mankad,44,2109,162,33,0,0,0,0,0,0,0,0,44,2109,162,33,2304
Madan Lal,39,1042,71,15,67,401,73,18,0,0,0,0,106,1443,144,33,1620
Polly Umrigar,59,3631,35,33,0,0,0,0,0,0,0,0,59,3631,35,33,3699
Abid Ali,29,1018,47,32,0,0,0,0,0,0,0,0,29,1018,47,32,1097
Irfan Pathan,29,1105,100,8,120,1544,173,21,24,172,28,2,173,2821,301,31,3153
Sameer Dighe,6,141,0,12,23,256,0,19,0,0,0,0,29,397,0,31,428
Bishan Singh Bedi,67,656,266,26,10,31,7,4,0,0,0,0,77,687,273,30,990
Jasprit Bumrah,20,43,83,6,67,19,108,17,50,8,59,7,137,70,250,30,350
Navjot Singh Sidhu,51,3202,0,9,136,4413,0,20,0,0,0,0,187,7615,0,29,7644
Chandrakant Pandit,5,171,0,14,36,290,0,15,0,0,0,0,41,461,0,29,490
Saba Karim,1,15,0,1,34,362,0,27,0,0,0,0,35,377,0,28,405
Sadanand Viswanath,3,31,0,11,22,72,0,17,0,0,0,0,25,103,0,28,131
Maninder Singh,35,99,88,9,59,49,66,18,0,0,0,0,94,148,154,27,329
Wasim Jaffer,31,1944,2,27,2,10,0,0,0,0,0,0,33,1954,2,27,1983
Mansoor Ali Khan Pataudi,46,2793,1,27,0,0,0,0,0,0,0,0,46,2793,1,27,2821
Ashish Nehra,17,77,44,5,117,140,155,17,27,28,34,4,161,245,233,26,504
Sunil Joshi,15,352,41,7,69,584,69,19,0,0,0,0,84,936,110,26,1072
Yusuf Pathan,0,0,0,0,57,810,33,17,22,236,13,9,79,1046,46,26,1118
Rusi Surti,26,1263,42,26,0,0,0,0,0,0,0,0,26,1263,42,26,1331
Yashpal Sharma,37,1606,1,16,42,883,1,10,0,0,0,0,79,2489,2,26,2517
B. S. Chandrasekhar,58,167,242,25,1,11,3,0,0,0,0,0,59,178,245,25,448
Vijay Dahiya,2,2,0,6,19,216,0,19,0,0,0,0,21,218,0,25,243
Yuzvendra Chahal,0,0,0,0,56,53,97,15,49,5,63,9,105,58,160,24,242
Roger Binny,27,830,47,11,72,629,77,12,0,0,0,0,99,1459,124,23,1606
Sandeep Patil,29,1588,9,12,45,1005,15,11,0,0,0,0,74,2593,24,23,2640
Budhi Kunderan,18,981,0,23,0,0,0,0,0,0,0,0,18,981,0,23,1004
Bapu Nadkarni,41,1414,88,22,0,0,0,0,0,0,0,0,41,1414,88,22,1524
Rajesh Chauhan,21,98,47,12,35,132,29,10,0,0,0,0,56,230,76,22,328
Dinesh Mongia,0,0,0,0,57,1230,14,21,1,38,0,1,58,1268,14,22,1304
Vinod Kambli,17,1084,0,7,104,2477,1,15,0,0,0,0,121,3561,1,22,3584
Ajay Ratra,6,163,0,11,12,90,0,11,0,0,0,0,18,253,0,22,275
R. P. Singh,14,116,40,6,58,104,69,13,10,3,15,2,82,223,124,21,368
Axar Patel,3,55,27,1,38,181,45,15,12,75,9,5,53,311,81,21,413
Dattu Phadkar,31,1229,62,21,0,0,0,0,0,0,0,0,31,1229,62,21,1312
Anshuman Gaekwad,40,1985,2,15,15,269,1,6,0,0,0,0,55,2254,3,21,2278
Ambati Rayudu,0,0,0,0,55,1694,3,17,6,42,0,4,61,1736,3,21,1760
Sadagoppan Ramesh,19,1367,0,18,24,646,1,3,0,0,0,0,43,2013,1,21,2035
Robin Uthappa,0,0,0,0,46,934,0,19,13,249,0,2,59,1183,0,21,1204
Pravin Amre,11,425,0,9,37,513,0,12,0,0,0,0,48,938,0,21,959
Kuldeep Yadav,7,54,26,3,65,118,107,9,23,43,41,8,95,215,174,20,409
Gulabrai Ramchand,33,1180,41,20,0,0,0,0,0,0,0,0,33,1180,41,20,1241
Probir Sen,14,165,0,20,0,0,0,0,0,0,0,0,14,165,0,20,185
Hemang Badani,4,94,0,6,40,867,3,13,0,0,0,0,44,961,3,19,983
Vijay Manjrekar,55,3208,1,19,0,0,0,0,0,0,0,0,55,3208,1,19,3228
Manish Pandey,0,0,0,0,29,566,0,10,39,709,0,9,68,1275,0,19,1294
E. A. S. Prasanna,49,735,189,18,0,0,0,0,0,0,0,0,49,735,189,18,942
Pragyan Ojha,24,89,113,10,18,46,21,7,6,10,10,1,48,145,144,18,307
Karsan Ghavri,39,913,109,16,19,114,15,2,0,0,0,0,58,1027,124,18,1169
Nari Contractor,31,1611,1,18,0,0,0,0,0,0,0,0,31,1611,1,18,1630
K. L. Rahul,0,0,0,0,0,0,0,0,49,1557,0,18,49,1557,0,18,1575
Brijesh Patel,21,972,0,17,10,243,0,1,0,0,0,0,31,1215,0,18,1233
Nana Joshi,12,207,0,18,0,0,0,0,0,0,0,0,12,207,0,18,225
M. L. Jaisimha,39,2056,9,17,0,0,0,0,0,0,0,0,39,2056,9,17,2082
Arun Lal,16,729,0,13,13,122,0,4,0,0,0,0,29,851,0,17,868
Nikhil Chopra,1,7,0,0,39,310,46,16,0,0,0,0,40,317,46,16,379
Laxman Sivaramakrishnan,9,130,26,9,16,5,15,7,0,0,0,0,25,135,41,16,192
Pankaj Roy,43,2442,1,16,0,0,0,0,0,0,0,0,43,2442,1,16,2459
Shreyas Iyer,0,0,0,0,22,813,0,8,29,550,0,8,51,1363,0,16,1379
Vikram Rathour,6,131,0,12,7,193,0,4,0,0,0,0,13,324,0,16,340
Raman Lamba,4,102,0,5,32,783,1,10,0,0,0,0,36,885,1,15,901
Aakash Chopra,10,437,0,15,0,0,0,0,0,0,0,0,10,437,0,15,452
Deep Dasgupta,8,344,0,13,5,51,0,2,0,0,0,0,13,395,0,15,410
MSK Prasad,6,106,0,15,0,0,0,0,0,0,0,0,6,106,0,15,121
